小美人鱼2
你是我的世界  You are my world
她一定会有一箩筐的疑问  she's going to have lots of questions.
然后谁会在场 提供这些答案呢？  And who'll be right there with all the answers?
我们啊     一点也没错  We will.     Exactly
她将是我们 征服川顿的完美工具  She'll be the perfect tool for Triton's undoing.
然后我又会再度变大  And I'll get to be big again.
终于我可以做到 我姐姐这一辈子无法做到的事  Finally I'll succeed at the one thing my sister never could.
真的 真的再度变大  Really, really big again
完完全全的掌控七海  Total domination of the seas
我会变大  I'll be huge
美莉缇 拜托  Melody, please.
如果你妈发现你跑到外面游泳  If your mother ever found out you'd been swimming out here...
我知道 我知道 她会发疯  I know, I know. She'd flip.
我刚刚突然想到  I had a thought here.
我该想到什么  Now, where'd it go? Hmm.
嘿 赛巴斯丁 我妈妈到底对海有什么成见  Hey, Sebastian, what's my mom got against the ocean anyway?
我是说大海是这么美好 怎么可能…  I mean, how could there be anything wrong with something so
有什么不对  wonderful?
你知道吗  You know what?
有时候我甚至假装  Sometimes I even pretend
我有… 鳍  I have fins.
我好希望能告诉妈妈我的感受  I wish I could tell my mom how I feel.
但… 她永远不会了解  But she'd never understand.
我可以跟螃蟹说却…  I can talk to crabs, but
不能跟她  not to her.
等一下  Wait a minute.
我刚刚想到  It just hit me.
你是不是应该告诉艾莉儿  How 'bout you tell Ariel
你真正的感受怎么样  how you really feel?
是啊 尽管去说  Oh, yes, by all means.
只管走进去并且告诉她 你曾经  Just waltz right in and tell her you been out here
到海里面去游泳  swimming in the ocean
我们可以举行一个大宴会  We could all just have a big party.
宴会？  The party
这让我想起了一件事  Say, that reminds me of something.
是你啊     公主陛下  Whoa     Oh, Your... Your Highness.
抱歉 我的错  Sorry. My fault.
我得走了 总不能光着脚丫参加宴会  I gotta go. Can't go to the party without shoes.
如果你问我 她是有一点奇怪  If you ask me, she's a little strange.
我听说她还真的跟鱼说话  I heard she actually talks to fish.
你在开什么玩笑  You're kidding.
这应该会是很有意思的宴会  It should make for an interesting party.
我等不及了  Yes I should say
爸爸 我好想你  I miss you, Daddy.
真希望你能跟我们在一起  I wish you could be here with us.
妈妈  Mother?
你在那里干嘛     没什么  What are you doing?     Uh, nothing.
我马上就来  I'll be right up
美莉缇  Melody?
我好了  I'm ready.
来 我来帮你  Here. Let me help.
今天的头发不好整理吗？  So, we're having a bad hair day.
就算是 你也帮不了忙 对吗？  If we were, you wouldn't be helping, would you?
我只是来告诉你们 楼下有一大堆的客人  I'm just here to let you know there are a lot of people downstairs...
我们马上就下去 再给我们两分钟  Oh, we'll be right down. Give us two minutes.
是啊 两分钟 我以前也常听谁这么说过  Right, two... Where have I heard that before?
妈 不要再梳了  Mom, put down the brush.
根本没用的     哦  It's hopeless.     Oh.
你看起来好美  You look beautiful.
一定要这样做吗？  Do I have to do this?
每个人都认为我…很怪  Everybody thinks I'm weird.
宝贝 你这个年纪的每一个人 都不太适应  Oh, honey, everyone has trouble fitting in at your age.
我就是这样  I know I did.
我就像是一条… 不适应水的小鱼  I was a regular fish out of water.
你？不可能  You? No way.
我真的好怕 我会是个十足的大傻瓜  I'm just so afraid I'm gonna make a total fool of myself.
美莉缇 这不光只是因为宴会对吗？  Melody, this isn't just about the party, is it?
你有没有什么话想要谈谈  Is there something you want to talk about?
你知道 你什么事都可以跟妈妈说  You know you can always tell me anything.
这… 好吧  Well, okay.
我是说这有点疯狂  I mean, it's kinda crazy and
而且… 有点不太可能  sort of impossible.
先不要生气  Now, don't freak,
但… 我在这世界上 最希望做的事情就是…  but what I dream about more than anything in the whole world...
准备好了吗？  How's it coming?
美莉缇 真的是你吗  Oh, Melody. Is that you?
你看起来好漂亮  You look beautiful.
他说得对 我们等一会儿再谈  He's right. Now, we'll talk later.
你今天晚上一定会很愉快的 相信我  You're going to have a wonderful time tonight. Trust me.
容我介绍 今天的寿星  May I present Her Royal Highness,
美莉缇公主陛下  Princess Melody.
没错 妈说得对 我可以办到  Oh, yeah. Mom's right. I can do this.
我可以请你跳支舞吗？  Um, hi. Would you like to dance?
去啊  Go on.
当然 好啊  Sure. Okay.
不     够了  Oh, no     That's it.
我要自己航行去逍遥  I'm booking myself on a cruise.
我真的很抱歉     应该抱歉的… 是我  I'm so sorry.     Well, I should say
你还好吗 塞巴斯丁？     是我  Are you okay, Sebastian?     So.
她是在跟谁说话啊  Who is she talking to?
她是在跟螃蟹说话  She's talking to a crab
是你  You
破坏份子  Saboteur
我要把你变成我的海鲜大餐  You're going in the bouillabaisse
天啊 不 路易 你不会这么做的  Oh, no No, Louis You don't wanna do this, man
我老了 我不适合做海鲜大餐  I'm old I'm not tender any more
路易  Louis
美莉缇  Melody
那只笨螃蟹  Death to the crab
你看你  Oh, Louis
小宝贝  Oh, sweetheart,
我觉得好遗憾  I'm so sorry.
我… 我到底是怎么回事  What's wrong with me?
没有 你没有什么不对啊  Oh, nothing's wrong with you.
妈 我简直是灾难公主  Mom, I'm the princess of disaster.
当一个青少年是很难的  Being a teenager is hard,
再说你这个年纪的孩子 都觉得… 笨手笨脚  and, uh, all kids your age feel awkward.
还有…     美莉缇  And...     Melody?
这是什么？ 上面有我的名字  What is this? My name's on here.
这首歌 我在哪儿听过  That song. Where have I heard it?
这是亚特兰提卡 那里有人鱼等等之类的  It's Atlantica. With merpeople and everything.
妈 你总是说这些全是童话故事  Mother, you always said it was just an old fish tale.
你从哪里拿到这个的  Where did you get this?
我… 我发现的  I, I found it.
你翻过那一面墙了对不对？  You went over the wall, didn't you?
其实我是钻过去的 我痛恨那面笨墙  Actually, I went under it. I hate that stupid wall.
美莉缇 你明知道你不可以到海里的  Melody, you know you're not allowed in the sea.
为什么？  But why?
还有那条项链 为什么有我的名字？  And why does that necklace have my name on it?
美莉缇 你听我说  Melody, listen to me.
你有事情在瞒我  You're hiding something from me.
你… 你是不是 一定要故意不听我的话  You deliberately disobeyed me
我不准你再给我到海里去 大海是很危险的 听到没有？  I never want you going out there again It's dangerous in the sea
你怎么知道 你自己又从来没有去过  How would you know? You've never even been in it
美莉缇 我…  Melody, I...
不  Oh, no.
艾莉儿 别这样 我们早知道会有这一天的  Ariel, darling, we knew this day would come.
亚力克  Oh, Eric.
你是对的 现在是我该告诉她 真相的时候了  You're right. It's time I trusted her with the truth.
好了 孩子 一切都会没事的  Oh, now, child, it's gonna be okay.
你知道 我十几岁的时候  You know, when I was a teenager
我根本就不肯跟人家打交道  you couldn't get me out of my shell for Nothing.
我的声音又高又尖  I had this high, squeaky voice
我的钳子好小好小  and these itty  bitty little pincers.
然后有一天  And then one day, boom
我的声音像歌王 冒出这个庞然大物  I sound like Caruso and these whoppers pop out
小姐 你现在到哪儿去啊？  Young lady, just where do you think you're going?
我得搞清楚这件事  I've gotta figure this out.
这一条项链有一些秘密  This necklace means something,
如果没有人要告诉我  and if no one's gonna tell me,
我就自己去查出来  I'm gonna find out myself.
美莉缇 拜托 你犯了个大错  Melody, please You're making a big mistake
这太美妙了  Oh, this is delicious.
这太令人愉快了  This is divine
走吧 还等什么  Let's go, flatsos.
杜鲨 快点哦  Hurry, Undertow.
外面有一个小女孩 正需要我们的帮助  There's a little girl out there who needs our help.
