超人总动员2
母亲尤其难过  Especially for Mother.
几个月后母亲伤心过度 也过世了  She died a few months later. Heartbreak.
如果超人没有被迫隐藏身份  If superheroes had not been forced underground...
也许父亲也不会被杀  it never would've happened.
或者父亲可以一听到强盗进屋  Or Dad could've taken Mom to the safe room
就带着妈妈躲进安全屋  as soon as he knew there was trouble.
我绝对不能同意这种说法  I disagree strongly!
不过现在还是不要讨论这个问题了  But we're not going into it right now.
重点是当时没人相信  The point is...
我们会顺利接手  nobody expected us
继续经营父亲的公司  to be able to actually run Dad's company.
不过 伊芙琳是设计师 我又擅长经商  But with Evelyn as designer, and myself as operator...
我们夜以继日的工作 迪沃科技才不断发展  uh, we threw ourselves into building DEVTECH
有了今天的成就  into what it is today.
我们是世界上数一数二的大型电信公司  A world  class telecommunications company.
规模非常大  Bigger than ever.
大企业就更要负起责任 支持正义的事业  Perfectly positioned to make some wrong things right.
所以我们见面了  Hence, this meeting.
我先问一个问题  Let me ask you something.
说说你们被迫停止活动的  What is the main reason
真正原因是什么  you were all forced underground?
因为人们的无知    其实是印象  Ignorance.    Perception.
就拿暗中破坏王的事来说  Take today for example, with the Underminer.
情况非常危急  Difficult situation.
你们需要迅速做出许多艰难的决定  You were faced with a lot of hard decisions.
没错 继续说  Oh, tell me about it.
可我不知道这个过程  I can't.
因为我并没有亲眼看到  Because I didn't see it...
其他人也看不到  neither did anyone else.
所以 你们今天奋力和坏人搏斗的时候  So, when you fight bad guys like today...
人们既看不到战斗也不知道前因后果  people don't see the fight or what led up to it.
他们只能看到政客想让他们看到的  They see what politicians tell them to see.
他们看到了破坏 又看到了你们  They see destruction and they see you.
那么 如果我们想  So, if we wanna change
彻底改变公众的对超级英雄过时的印象  people's perceptions about superheroes...
就需要  we need you
你们与世界分享你们独有的超级视角  to share your perceptions with the world.
具体应该怎么做呢    用镜头  How do we do that?    With cameras.
我们要把超人的视角分享给全世界  We need you to share your perceptions with the world.
那我们要怎么做  How do we do that?
我们会在你们穿的超能装里面  We embed tiny cameras, like those,
安装微型摄像头  into your Supersuits.
哇哦 真小巧  Wow, so small.
可是画质非常好  And the picture is outstanding.
谢谢 是我亲自设计的  Thanks! Designed 'em myself.
我们有资源 有活动家  We've got resources, lobbyists,
在全世界都有非常广泛的人脉  worldwide connections...
还有最重要的 就是保险  and very important, insurance.
保险才是关键  Insurance is key.
现在缺的就是最厉害的超人了  All we need now are the super  est superheroes.
也就是你们三位 来吧  It needs you three. Come on!
加入我们 努力让超能力再次合法  Help me make all Supers legal again.
这真是太棒了  This sounds great!
马上就开始吧 我的任务是什么  Let's get this going. What's my first assignment?
超能先生 你这种热情非常好  That enthusiasm is golden.
请保持住 其实我们要想改变超人形象  Now hold on to it. But for our first move...
重点在弹力女超人身上  Well, Elastigirl is our best play.
难道 她比我更强  Better than me?
我是说 她很好  I mean, she's good.
她真的很有能力 可是  Really, a credit to her...
你懂得 你懂我意思  You know. You know.
我很尊重您  With great respect...
不过您还是不要太依赖  let's not test the whole
保险反正都可以理赔 这种想法  "insurance  will  pay   for  everything" idea...
特别是一开始的时候好吗  on the first go 'round, okay?
等一下 你是什么意思 我能力不太行么  Wait a minute. You're saying what? I'm messy?
是这样 伊芙琳作了成本收益分析  Well, Evelyn did a cost  benefit analysis...
比较了你们停止活动之前五年间  comparing all your last five years of crime fighting
你们打击犯罪情况的数据  before going underground.
弹力女超人的数据是最好的  And Elastigirl's numbers are self  explanatory.
这种比较根本就不公平  Well, it's not a fair comparison!
听着 重要的问题就得用重量级的解决办法  Heavyweight problems need heavyweight solutions.
说的对 最终所有的问题  Of course! We're gonna solve
我们都要解决  all kinds of problems together.
不过 在此之前要来一次完美的公关 重点推出弹力女超人  After the perfect launch with Elastigirl!
那么 你怎么想  So, what do you say?
你问我怎么想  What do I say?
我 不知道  I don't know.
你怎么可能不知道  What do you mean, you don't know?
几个小时前 你还说超能力的时代已经过去了  A few hours ago, you were saying it was over...
当超人只是幻想  and being a superhero was a fantasy.
可现在改变人生的好机会来了  Now, you get the offer of a lifetime
你居然说你不知道  and you don't know?
没那么简单 鲍勃 我还要考虑保护孩子们  It's not that simple, Bob. I wanna protect the kids!
我也在考虑孩子  So do I.
违法是会坐牢的 鲍勃  From jail, Bob!
干什么才能不违法  And how do you do that?
现在明明有改变法律的机会  By turning down a chance to change the law
让孩子们以后不用再隐藏能力  that forces them to hide what they are?
他们自己还不知道自己要什么 他们还只是孩子  They haven't decided what they are. They're still kids.
他们是有超能力的孩子 也就是超人  Kids with powers, which makes them Supers...
不管以后他们决定用不用超能力  whether they decide to use those powers or not.
这样都对他们有好处  This will benefit them.
我现在最应该陪着他们  It's not a good time to be away.
小飞连作业都做不好  Dash is having trouble with homework...
小倩成天想着约会的事  Vi is worried about her first date
就是和那个她喜欢的男孩子 叫托尼的  with that boy she likes, Tony...
然后小杰又  and Jack  Jack...
小杰 小杰怎么了  Jack  Jack? What's wrong with him?
好吧 小杰没有任何问题  Okay, nothing's wrong with Jack  Jack.
不过就是普通孩子也需要很多关心的  But even a normal baby needs a lot of attention.
我总感觉不该离开家  I'm just not sure I can leave.
你怎么不能离开家  Of course you can leave.
你一定要去 只要我..  You've got to. So that I...
我们就可以重新正大光明的当超人  we can be Supers again,
我们的孩子才能选择未来啊  so our kids can have that choice.
你是说你的未来吧  So you can have that choice.
说的对 是的  All right, yes!
说的是我的未来  So I can have that choice.
而且让我上 我一定能做的非常好  And I would do a great job!
不管文斯顿那个倒霉数据说的是什么  Regardless of what Deavor's pie charts say or whatever...
不过 他们要的是你  But they want you.
你也 一定会像我  And you'll do a great...
一样  job...
出色  too.
看你这样连我都跟着着难受  Well, that was excruciating to watch.
我不能对你撒谎  I can't lie to you.
我被选上了很开心 更要飘飘然了 可是  It's nice to be wanted. Flattering, you know, but...
你想怎么选  But what's the choice?
第一 好好工作拿到报酬  One, do this right,
我们就能搬出汽车旅馆  get well paid, we're out of the motel...
超能力合法化对超人们  and things get better for all Supers,
对孩子们也有好处  including our kids.
第二种  Or two...
我们要在两周内找到工作 要不然我们就只能流落街头  I find a job in two weeks or we're homeless.
你知道这有多疯狂么  You know it's crazy, right?
为了家人 我得离开家  To help my family, I gotta leave it.
要改变法律 得先违法  To fix the law, I gotta break it.
你会做的很棒的  You'll be great.
这我也知道  I know I will.
可你怎么办 还有孩子要照顾  But what about you? We have kids.
我会看孩子 没问题  I'll watch the kids, no problem.
