淘宝店： 智美教育  整理
但是是来自另一个地方的蓝精灵    But this hat comes from somewhere new.
好的 在哪里 它们来自哪里    Yes. Where? Where does it come from?
蓝精灵村庄 一个充满了魔法的地方    A village of smurfs, where enchantment grows.
噢 有一整个村子的蓝精灵吗 太好了 继续说    Oh. An entire village. Good. Go on. Go on.
它的位置是    The location of which...
在哪里   无人知晓    Yes? ...Nobody knows.
不 你早怎么不说 你应该一开始就说"我不知道"    No! Just start with that. Start with "I don't know."
你这口讨厌的破烂锅    Lousy cheap o cauldron.
但是现在有一条线索    But here is a clue.
好极了 这什么东西    Fascinating. But what is it?
是树吗    Trees?
这一定是个什么标志或者代码    Must be a symbol for something, or a code.
树木 树 风 膝盖 婴儿在膝盖上爬行    Trees, trees, breeze, knees. Babies crawl on their knees.
查查附近所有的保姆    Check all the nurseries in the area!
看来我们得打扮成婴儿才行    We're going to need to disguise ourselves as babies.
现在 我去哪里搞一片超大号尿片呢    Now, where can I get a giant diaper?
阿兹猫 这不是你的地图    Azrael, it's not your map.
你也想要地图吗    You want your own map,
我帮你弄一张吧 但是这个是我的    we'll get you your own map, but this is my...
等下 看我发现了什么了    Wait a minute. Look what I found.
三棵大树 就在禁忌森林里    Three tall trees, in the forbidden forest.
我们还从没去那里找过呢    We've never searched there before.
我是个天才    I'm a genius.
嘿    Psst.
阿兹猫 看来我们要出趟远门了    Azrael, it's time to take a road trip.
嘘   我要去准备干果了    Shh.   Prepare my trail mix.
噢 蓝妹妹 多亏了你    Oh, smurfette, congratulations.
是你让我    You've just led me
又找到了一群新的蓝精灵    to an undiscovered population of smurfs.
它们都不知道我的存在    They have no idea we even exist.
到时候我会像这样    I'll be like...
而他们一定会说 噢 不    They'll be all like, "Oh, no!"
然后我就会    And I'll be like...
然后他们就会说 不 快跑啊    And they'll be like...   "Run! No!
跑 跑 跑    "Run, run, run!"
你这个邪恶的小天才    You evil little genius.
毕竟虎父    The rotten apple doesn't fall too far
无犬子嘛    from the tree after all.
对吧    Does it?
好好准备下 伙伴们    Get your fur and feathers in gear, boys.
我们天亮就出发了    We leave at first light.
吃过早饭 大概八点或者八点半 最迟不超过九点    Right after breakfast, say 8:00, 8:30. 9:00 at the latest.
等一下 聪聪 地图   我来搞定    Wait, brainy, the map. I'm on it.
好吧 也许九点半吧 绝对不能超过十点了    Fine, maybe 9:30. Absolutely no later than 10:00, though.
怎么回事    What the...
蓝妹妹越狱了 快快快    It's a jailbreak! Go, go, go!
他们知道我的计划 他们会毁了它的    They know my plans. They'll ruin everything!
这玩意靠谱吗    Is this safe?
这弓太大了 所以我猜不太靠谱    Well, it's a giant crossbow, so I'm gonna go with "No."
别让他们跑了    Don't let them escape.
安全带在哪里    Where are the seat belts?
抓住他们 抓住那些蓝精灵    Get them! Get those smurfs!
发射    Fire in the hole!
抓住那些蓝精灵们    Get those smurfs!
阿兹猫快追上来了    Azrael's gaining on us.
秃鹰也来了    Incoming bird!
这下有的疼了 不要啊    This might hurt. No!
啊    Huh?
快来 走这边    Come on. Smurf this way.
快跑啊 快跑    Run faster! Run faster!
为什么我们没有大长腿    Why are our legs so short?
为什么我们的脚这么大    Why are our feet so big?
为什么我肌肉这么发达    Why are my muscles so big?
你够了啊 健健    Really, man?
伙伴们 伙伴们 救命啊    Guys! Guys! A little help here.
它来了    It's coming.
好了 没事儿了    Yes! All right!
好的 你们四个    Well, I know four smurfs
谁能解释下 这到底是怎么回事    who have some explaining to do.
哦 完蛋了 嗨    Oh, boy. Hi.
哦 天啊 爸爸 你不会相信发生的这一切的    Oh, my gosh. Papa, you will not believe it.
我们进入了禁忌森林    We ran into the forbidden forest.
一个个说 一个个说    One at a time. One at a time.
好了 好了    Please. Please.
蓝妹妹看见了一个神秘的蓝精灵    Smurfette sees this mystery smurf.
我们必须再去趟禁忌森林    We have to go to the forbidden forest.
我已经告诉你们很多次了    I've told you time and again,
禁止踏入禁忌森林    the forbidden forest is forbidden.
你们现在说的什么地图    And now you're talking about maps
神秘蓝精灵 还有格格巫的城堡    and mystery smurfs and gargamel's lair.
跟你们有什么关系呢    None of this makes any sense,
我真是不明白    and I really don't understand
这么简单的规则你们都遵守不了吗    why you can't follow simple rules.
就因为你们偷跑出去 才会碰到这么多危险    You snuck out and it put you all in danger.
为了确保你们的安全 我看我必须要惩罚你们    Seems to me the only way I can keep you safe is if...
你们被禁足了    You're grounded.
禁足 不 不要这样   禁足 这可不行    Grounded? No, not grounded! What? No way!
但是 爸爸 但 别这样嘛    But, papa, but... Come on!
没有"可是"    No "Buts."
从现在起没有我的允许    None of you are to take one step out of your mushrooms
你们不许踏出房门半步 明白了吗    without telling me where you're going. Do you understand that?
你是对的 爸爸   哈 什么    You're right, papa. Huh? What?
哈 你是对的    Huh? You're right.
我也不知道我们是哪根筋搭错了    I don't know what we were thinking.
好的    Uh, good.
因为 就如我所说的    Because, as I was saying,
你们这样对待自己太不负责任了    you behaved completely irresponsibly.
是的 没错儿    Yes. Right. Exactly.
完全同意 是吧 小伙伴儿们    I couldn't agree more. Right, guys?
呃 对 对 对对对    Uh... yeah, right. Oh, yeah. Yeah, yeah.
你到底在说什么啊 蓝妹妹   好吧    What are you talking about, smurfette? Okay.
很好 那么 另外    Yes, so... And furthermore...
所以 我觉得我们要马上回家    In fact, I think we should all go to our rooms right now
闭门思过    and think about what we've done.
好吧 我认为    Well, I think that's...
有点难受 但是这是公平的    Tough, but fair.
走吧 伙伴儿们   好的 好的    Come on, guys. Okay, okay.
好了 我们走了   你到底怎么了    Okay, I'm moving. What's your endgame here?
你是哪根筋搭错了吗 蓝妹妹    Did you get pecked on the noggin, smurfette?
其实 蓝妹妹   别担心 爸爸    Actually, smurfette... Don't worry, papa.
我们一定会好好闭门思过的    We are certainly going to do some thinking about what we did.
反省自我    And so forth.
而且我们一定不会踏出房门的    But we will definitely not be leaving our rooms
直到我们认识到自己的错误为止    until we've thought this whole thing out.
而且 为了更好的反思    And then, just for good measure,
我们还会多自省几天的    we'll think about it some more.
好的 但    Yes, but...
完美的谈话 爸爸    Great talk, papa.
搞不懂这些孩子到底在想什么    I have no idea what I'm doing.
曲目：Heroes We Could Be    歌手：Tove Lo&Alesso
光天化日 我们隐藏自己    We could hide away in daylight
阳光下 我们暗地行动    We go undercover wait out the sun
众目睽睽 我们保守秘密    Got a secret side in plain sight
空旷的街道才是我们奔忙的地方    Where the streets are empty that's where we run
每个人各司其职    Everyday people do everyday things but I
但我却例外    Can't be one of them
你应该懂我的意思 我们是与众不同的    I know you hear me now we are a different kind
我们无所不能    We can do anything
我们可以成为英雄    We could be heroes
我们可以    We could be...
健健 我知道是你    Hefty, I know that's you.
你好 蓝妹妹    'Sup, smurfette?
聪聪    Brainy.
你咋知道的    How did you do that?
我猜 笨笨也来了吧    And, I assume, clumsy.
我没事   你们怎么都来了    All good. What are you guys doing out here?
我们觉得你有事儿瞒着我们    We knew you were up to something.
都是我的错 健健    This is all my fault, hefty.
但是蓝妹妹 你要去禁林吗    But, smurfette, the forbidden forest?
太危险了    It's too dangerous.
我得去给那里的蓝精灵报信    I have to at least warn that lost village.
我们是蓝精灵四人组 我们必须一起行动    Well, we're team smurf, and we stick together.
所以 我们要和你一起去    So, we're coming with you.
你们不必如此    I can't ask you to do that.
不用你开口    You didn't ask.
我们自己想去的    We volunteered.
谢谢你们    Thanks, guys.
言归正传    First things first.
哇哦 虫虫黑科技啊 真酷    Wow! Bug technology. Cool.
如图所示 我们应该    According to my map, we should be standing
穿过眼前这堵又高又长的石墙    right in front of this very large, tall stone wall.
好好看看    Check.
我们的一小步 蓝精灵族的一大步    One small step for four small smurfs...
好了 继续前进    Okay. Let us proceed.
蓝妹妹 你还好吗 蓝妹妹    Smurfette! You okay, smurfette?
乖花花 乖花花    Nice flowers. Nice flowers.
花花真不乖    Not nice flowers!
外面太阳升起    Out to the sun up
扭曲 燃烧    Twisting and burn up
没有人阻止我们    Can't nobody stop us
我们精神错乱    We're gone delirious
啦啦啦啦啦啦    La la la la la la
给我一些    Gimme some of that
我们精神错乱    We're gone delirious
啦啦啦啦啦啦    La la la la la la
来吧 去兜风吧    Come and take a ride
就整晚 谁会在意    Take it all night  who cares
笨笨呢    Where's clumsy?
嘿 我们才见一次 我不是那种随便的蓝精灵    Hey! We just met! I'm not that kind of smurf.
小心别滚下去    Watch out for the steep embankment.
笨笨 你还好吗    Clumsy, you okay?
我眼冒金星了    I'm seeing stars.
好样的 笨笨    Good work, clumsy.
你可能发现了一种新型飞虫    You may have discovered a new subspecies of flying insectoid.
太神奇了 有翼喷火插翅亚目    Amazing! A winged, fire breathing anisoptera.
嗯 让我看看 我们应该给它们归为哪一类呢    Mmm, let's see. How should we classify this?
嗯 也许    Hmm, maybe.
我的意思应该是那一类 但是我还不能肯定    I mean, seems like an easy choice, but I'm just not sure.
是的 我们叫他们龙蜻蜓吧    Yeah, okay, let's go with "Dragonfly."
但愿蜻蜓属性多于龙的吧    Hopefully more "Fly" Than "Dragon."
不 放我下来 放我下来    Nope! Less "Fly"! Less "Fly"!
啊 兄弟们救我    Whoa, guys!
我没事    I'm okay.
帮我一把    A little help here.
蒙提 你给我下来    Monty, get off of me.
我讨厌大自然    I hate nature.
这花真丑啊    How gaudy.
嗯 哇 哇    Hmm? Ow, ow!
阿兹猫 别傻看着    Azrael, do something!
痛死爹了    It's quite painful.
别笑了 这不好玩    Stop laughing. This is not funny.
小心    Watch it!
放开我    Let me go!
哎呦    Ouch.
嗯 这些巢是用    Hmm. These nests are made of some material
一些我从未见过的材料做的    I've never seen before.
哇哦    Whoa!
我受够了    You know, I think I've had enough
这些横冲直撞的大蜻蜓    of these flying antipastos for one day.
嘿    Hey!
你在这里干嘛    What are you doing here?
好吧 我正想在这里安个家    Well, I was thinking of getting a little place out here.
丛林里更安静一点    Just a quiet place in the forest.
山上风太大了    It's a little breezy up on the hill.
你们觉得我来这儿能干嘛    What do you think I'm doing out here?
你们别想找到那座精灵村 格格巫    You are never going to find that village, gargamel.
蓝妹妹 多亏了你的帮忙    Oh, smurfette, if it wasn't for you,
我可不知道还有别的蓝精灵    I wouldn't even know about those other smurfs.
抓住他们    Get 'em, boys.
分散逃跑模式 走    Smurfintine formation! Go!
嘿    Hey!
分散逃跑    Smurfintine!
抓住他们 阿兹猫 分散    Get 'em, azrael! Smurfintine!
分头跑 分头跑    Smurfintine! Smurfintine!
分头跑    Smurfintine!
嘿 小不点你叫笨笨是吧    Hey, you. You're the clumsy one, right?
什么   接住了    Huh?   Think fast.
我接住了    I caught it!
情况不妙    This isn't good.
笨笨 把蛋还给他们 好的    Clumsy, give 'em back their egg! Okay.
哦 拜托    Oh, come on!
笨笨    Clumsy!
我正在努力    I'm trying!
对不起 对不起 大家伙    I'm really, really sorry, guys!
到那边    Over there!
我不是故意要拿你们蛋的    I didn't mean to poach your egg.
哈哈 他们变成烧烤了    Well, they're toast.
啊 没事了    Ah, it doesn't matter.
损失几只蓝精灵而已    What's a few worthless pennies
还有一整个村子的蓝精灵在等着我    when there's a pot of gold at the end of my rainbow?
相信我 他们死定了    Trust me, they're goners.
我跟你说 他们已经变成烤肉串了    I'm telling you, they've been fried to a blue crisp.
他们就是蓝精灵考薯片    They're smurf kabobs.
一点渣都不剩了    Smurfberry flambe.
毛都不剩    Marshmallows.
闭嘴 脏毛球 他们死定了    Can it, fuzzball. They're dead.
死翘翘了    Dead, I say!
有人吗    Hello?
蓝妹妹    Smurfette?
回声    Echo!
太黑了    Darkness.
这么黑我适应不了    I don't do well in the darkness.
大白天我的麻烦就已经够多了    I have enough trouble in the daylight.
等下 大家伙 我们得找条路出去    Hold on, everyone. We need to find a way out of here.
你可真聪明呀 "智多星"    That is good thinking, "Brainy."
兄弟们   太黑了    Guys?   Darkness!
别怕 想想开心的事情    Don't be scared. Just... Just think happy thoughts.
现在可不是什么有趣的时候    It's not really happy times right now!
呆在光底下别动 笨笨   太晚了    Just stay in the light, clumsy.   Too late.
我正堕入无边黑暗    I'm walking into the darkness!
你在 为什么    What are you... why?
我要吓尿了 伙计们    I'm really freaking out, you guys!
都别说了 伙计们    Stop, everyone.
掏掏你们的背包    Okay, go into your backpacks,
拿出隧道生存应急工具箱    get out your emergency tunnel survival kit,
里面有个小玻璃瓶 上面写着"照明"    find the small glass vial marked "Light,"
然后使劲摇晃它    and shake it really hard.
笨笨 你怎么样了    Clumsy? How you doing?
我觉得我没事了    Okay, I guess.
冷静点笨笨    Just hang tight, clumsy.
我不知道这个能坚持多久    I'm not sure how long this will take
我们要在这里走多久    or how long we'll be down here,
所以伙计们 不管你们干什么    so, everybody, whatever you do,
不要一口气把自己食物吃完    don't eat all your rations.
我刚吃完我的口粮    I just ate all my rations!
笨笨 我一紧张就想吃东西    Clumsy! I'm stress eating!
我过来了 笨笨    I'm coming, clumsy.
跟着我的声音    Follow the sound of my voice.
等等 这些隧道像是迷宫一样    Wait! These tunnels are like a maze.
我们不能乱走    We'll just get more lost.
