淘宝店： 智美教育  整理
给我住口 阿兹猫    Stop that, azrael.
你这些连续不断的哼唧    I can't calibrate my machine
让我没办法校准我的机器了    with all your incessant yammering.
听话 阿兹猫 这才像只乖猫咪嘛    Oh, yes, azrael, listen to it. It purrs like a kitten.
哦 看看 一切都在井然有序地进行    Oh, look at that. Everything is in sync.
不错 很棒    Yes, yes. Good.
天呐 又是一场越狱    Sweet mercy! It's another jailbreak!
不 格格巫 不    No, gargamel. No.
给我安静    Quiet down.
会轮到你们的    You'll all get your turn.
给我进去吧    In you go!
不    No!
没错 要的就是这个效果    Yes, that's the stuff.
成功了 成功了 成功了    which is working,it's working,it's working,
哦 我可以感觉到 感觉到那股魔力    Oh, I can feel it. I can feel the power.
看看我的巫师发型    Check out my wizard mane.
不是吧    Really, man?
当我解决掉所有的蓝精灵以后    When I'm through with these smurfs,
我就会拥有我梦寐以求的魔力了    I'll have all the power I've ever dreamed of!
几乎是所有的魔力    Almost all the power.
咦    Huh?
蓝妹妹    Smurfette.
蓝妹妹 多么美丽的惊喜    Smurfette, what a lovely surprise.
你已经在树林里哭够了吗    Are you done crying in the woods?
我已经为那些蓝精灵浪费了太多眼泪    I've shed enough tears for those smurfs.
什么    What's this?
我已经受够假装非真实的自我了    I'm done pretending to be something I'm not.
我要向您重新宣誓我的忠诚 我真正的父亲    I've come to repledge my loyalty to you, my true papa.
不可能    Impossible.
她不是认真的    She can't be serious.
不 不 不 她绝对不会那样做的    No, no, no, she would never.
我才不上你当 而且就算我信了你的邪    Even if I did believe you, which I don't,
你又能给我什么    what could you possibly offer me
我还没有的东西    that I don't already have?
一次我都感受不到力度的迷你按摩吗    A tiny little massage that I can't even feel?
那要是我帮你找到剩下的蓝精灵呢    How about the rest of the smurfs?
没错 等等 你说什么    Yeah, right. Wait, what?
只要我告诉了你蓝精灵村庄在哪    Just think of all the power you'll have
你就能拥有更强的魔法    once I reveal the location of smurf village.
让我想想    Oh, let's see now.
一百多只蓝精灵 也就是10倍的魔力    One hundred more smurfs, that's 10 times the power...
不对 要是按一只来算的话    No. If you carry the one...
不管怎么说 都是更多的魔力    Whatever. It's a lot more power.
那你这么做的目的是什么    Now, why are you doing this?
我再也不想做一只乖宝宝了    I'm so tired of being good.
用你的魔法    Use your power to transform me
让我恢复邪恶本性吧    back to my evil self.
你真是个忠诚的好孩子    Your loyalty has returned to you.
所以 你是要和我做笔交易吗    So, do we have a deal?
蓝妹妹 不要    Smurfette, no!
闭嘴 你这该死的蓝老鼠 我在考虑东西    Quiet, you vile blue rats. I'm thinking.
好 成交    Okay, I'm done. Let's do it.
来吧 邪恶蓝妹妹    One evil smurfette coming right up!
等等 我知道了    Wait. Of course!
怎么会这样 发生了什么    What? Oh, what's happening?
不要 不    No! No!
你在干什么    What are you doing?
就这样 加油 蓝妹妹    Yeah! Go, smurfette! Whoo!
阿兹猫 过来帮我 给我点魔法    Azrael, help! More power!
我们该做什么    What are we going to do?
好极了 该我们登场了    Bingo. We smurfboard.
蓝精灵小队    Team smurf!
复仇时间    Payback time.
不    No!
蓝精灵 蓝精灵    Smurfintine! Smurfintine!
自由啦    We're free!
我没事 耶    I'm okay. Yeah!
我还以为我们完蛋了呢    I thought we were goners.
好的各位 谢天谢地    All right. Everybody. Thank goodness.
太棒了 我没事    All right! I'm okay!
她成功了 她成功了    She did it! She did it!
蓝妹妹呢    Where's smurfette?
嘿    Hey.
蓝妹妹    Smurfette?
发生什么了    What happened?
这就是她原来的样子    This is what she once was.
不 不不不    No. No, no, no.
一定有什么我能做的    There's gotta be something I can do.
肯定有个什么咒语    There's gotta be a spell.
一定有 我知道的    There's gotta be something. I know there is.
在哪 在哪页 一定在这了    Where is it? What page? Must be here.
炼金术 隐身    "Alchemy, vanishing,
点铅成金 不 不是这个    "Lead into gold." No, that's not it.
爸爸 是哪个 咒语到底是哪个    Papa. Which spell? Which spell?
爸爸    Papa.
这本书里没有我们要找的东西    We won't find the answer to this in a book.
我们还是带她回家吧    Let's take her home.
曲目：You Will Always Find Me In Your Heart    歌手：Christopher Lennertz
我知道我与众不同    I knew that I was different
我觉得你无法理解    Didn't think you'd understand
无论怎样 事情不会尽如人意    Nothing happens like you plan it anyway
寻找原因 努力寻求突破    Searching for a reason
我想我永远不会知道    Guess I never really knew
我属于哪里    Where I belong
我能把事情看的真真切切    I can see things clearly
可是时候说再见了    But it's time to say goodbye
留下我不停地询问    And then leaves me asking why
为什么要花这么长时间去寻找答案    It took so long
我一直在尝试    I was always trying
去寻找到内心那份特别的感触    To find that special thing inside
来让我变得更加坚强    That made me strong
爱是我唯一所需要的    Love is all I need
这是一切起源的地方    It's where it all began
你总是会在心里想起我    You will always find me in your heart
我知道你会明白    I know that you can see
我究竟是谁    Just who I really am
你终会知晓 我心中所属    And then you see,I really do belong.
她从来都没有认为自己是只真正的蓝精灵    She never thought she was a real smurf.
但她却是我们当中最名副其实的蓝精灵    But she was the truest smurf of all.
你们都哭什么    Why is everyone crying?
因为蓝妹妹    It's smurfette.
她变成了黏土    She's a lump of Clay.
别逗了 笨笨 是我 我在这儿呢    No, clumsy, it's me. I'm right here.
蓝妹妹    Smurfette?
蓝妹妹 你是蓝妹妹    It's smurfette. It's smurfette!
安静点 笨笨    Quiet, clumsy.
随他去吧 聪聪    Let him be, brainy.
我们都有自己表达悲伤的途径    We all grieve in our own way.
她在这儿 可怜的小兄弟    She's here! Poor little bro.
我能理解他    I know how he feels.
耶    Yeah!
蓝妹妹    Smurfette!
健健 不会你也这样吧    Oh, hefty, not you, too.
原来你没事    You're all right!
别再这样让我担心了    Don't ever do that to me again.
不会了 我保证    I won't. I promise.
太棒了 太棒了    Yes, yes, yes!
你总是能给我惊喜    You never cease to amaze me.
所以 关于你的身世问题    So, as for that burning question...
蓝妹妹到底是什么    What's a smurfette?
我不用书就能解释她是    Well, I don't need a book to tell you she's...
没错    Right.
蓝妹妹不能用一个词来说清    Smurfette can't be defined by just one word.
她太复杂了    She's many things.
虽然她还不知道 但她现在已经是我的新闺蜜了    Oh, she doesn't know it yet, but she's my new best friend.
蓝妹妹是个牧兔女    Smurfette is a bunny wrangler.
她很强    She's tough.
虽然不如我 但足够强了    Not as tough as me, but tough enough.
蓝妹妹能变成任何她想变的东西    Smurfette can be anything she wants to be.
嘴里塞满东西我也会毫无顾忌大说特说    I talk with a mouth full,uh huh
但我就是那么可爱    But I couldn't be sweeter
是啊 我的可爱无人能敌    Yep I'm a cutie in my own way
我可不会乖乖听命于人    I won't play follow the leader
我不像她们那般    And I don't look like them
但我一点也不担心    But I ain't worried about it
我不会像她们那样说话    I don't talk like them
但我一点也不担心    But I ain't worried about it
我知道我犹如珍宝般难能可贵    But I know I'm a gem
我一点也不担心 一点也不担心    I ain't worried about it I ain't worried about it
因为我本是淑女    'Cause I'm a lady
因为我本是淑女    'Cause I'm a lady
拜托 我可是个淑女    Come on I'm a I'm a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我知道我的笑很大声    I know I laugh too loud
这里面是什么 再见了    What's going on in there? Goodbye!
而且我有点多愁善感    And I might cry too much
别理那些审视的眼光    To all those judgy eyes
我有满腔的热忱和爱    I got a whole lotta love
我跟她们有着天壤之别    Cause I don't move like them
但我一点也不担心    But I ain't worried about it
我跟她们截然不同    I don't move like them
但我一点也不担心    But I ain't worried about it
我知道我犹如珍宝般难能可贵    I know I'm a gem
我一点也不担心 一点也不担心    I ain't worried about it I ain't worried about it
因为我本是淑女    'Cause I'm a lady
因为我本是淑女    'Cause I'm a lady
我就是我 不一样的女人    I'mma  I'm a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
蓝茄子    Say, "Blue cheese!"
蓝茄子    Blue cheese!
嘴里塞满东西我也会毫无顾忌大说特说    I talk with a mouth full,uh huh
但我就是那么可爱    But I couldn't be sweeter
是啊 我的可爱无人能敌    Yep I'm a cutie in my own way
我可不会乖乖听命于人    I won't play follow the leader
我不像她们那般    And I don't look like them
但我一点也不担心    But I ain't worried about it
我不会像她们那样说话    I don't talk like them
但我一点也不担心    But I ain't worried about it
我知道我犹如珍宝般难能可贵    But I know I'm a gem
我一点也不担心 一点也不担心    I ain't worried about it I ain't worried about it
因为我本是淑女    'Cause I'm a lady
因为我本是淑女    'Cause I'm a lady
拜托 我可是个淑女    Come on,I'mma I'm a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我知道我的笑很大声    I know I laugh too loud
而且我有点多愁善感    And I might cry too much,come on
别理那些审视的眼光    To all those judgy eyes
我有满腔的热忱和爱    I got a whole lotta love
我跟她们有着天壤之别    And I don't move like them
但我一点也不担心    But I ain't worried about it
我跟她们截然不同    I don't move like them
但我一点也不担心    But I ain't worried about it
我知道我犹如珍宝般难能可贵    I know I'm a gem
我一点也不担心 一点也不担心    I ain't worried about it I ain't worried about it
因为我本是淑女    'Cause I'm a lady
我本是淑女    I'm a lady
我就是我 不一样的女人   因为我本是淑女    I'mma I'm a lady   'Cause I'm a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我超级可爱 我足够聪慧    And I'm pretty,pretty cute and I'm pretty smart
打断一下 我就是巧夺天工的艺术品    And when I break it down,it's a work of art.
如果你也这样认为 那你愿意和我一起吗    And if you feel the same can you participate
我想看你一起摇摆 我想听你说    I wanna see you shake I wanna hear you say
我美貌无敌 我超级可爱 我足够聪慧    Say I'm pretty I'm pretty cute and I'm pretty smart
打断一下 我就是巧夺天工的艺术品    And when I break it down it's a work of art
因为我本是淑女    'Cause I'm a lady
因为我本是淑女    'Cause I'm a lady
淑女    Lady...
我就是我 不一样的女人    I'mma I'mma lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我的闺蜜们会让他们知道 你很淑女    All my girls show them you're a lady
告诉这世界 作为女人你很自豪    Tell the world say that you're proud to be a lady
我差点儿就能除掉这些蓝精灵了    I was this close to getting rid of the smurfs,
你们把一切都搞砸了    and you ruined everything.
早知道我就去领养一只狗了    I knew I should have gotten a dog from the shelter.
我并不是想说得有多残忍 好吗    I'm not saying this to be cruel, okay?
我只是希望能有所突破    I'm saying it to be constructive.
你们这两只废物    You're a useless feline.
这只是说 意思就是    That's just mean. That's mean.
这儿有根线 你们把它缠在了一起    There was a line, and you crossed it.
而我只是手臂被刺着    I was just jib jabbing,
但你们把线都缠到一起了 这刺得我很疼    and you crossed that line, and that stung.
我要你们给我道歉    I demand an apology.
不管怎样你们都要知道    You were going to learn this one way or another,
我不是你亲爹    but I am not your real father.
现在这都不重要    But that doesn't matter now.
重点是要打败蓝精灵    What matters is destroying the smurfs.
有意见吗 我想说我有意见    Any thoughts? I mean, I have thoughts.
但我就喜欢吐槽你的想法    But I always like to spitball off of your thoughts.
阿兹猫 我不想掩饰什么    Azrael, I'm not going to sugarcoat this.
你的点子太糟了    Your ideas are terrible.
这音乐让我没法思考    I can't think with this music.
谁能把这音乐关掉    Can someone please shut off the music?
还有这些从我面前滚过去的词    And what's with all these words
是怎么回事    scrolling in front of me?
是蓝精灵们为了让我分心才这么干的吗    Did the smurfs do this so that I would be distracted
让我不能轻易就打败他们    and not be able to destroy them as easily?
亚光画家 我实在搞不懂这到底什么意思    "Matte painters"? I don't even know what that means.
一些家伙瞎编的 对吧    Someone just made that up, right?
我真为马特感到难过    I feel sorry for whoever "Matte" Is.
观感开发师    "Look development artists"?
好的 我们来做些表情    Oh, yes, of course, let's develop some looks.
比如说 看起来火冒三丈的样子    Like maybe a really angry look,
因为你们俩毁了我的计划    because you two totally ruined my plans.
我要疯了 阿兹猫    Am I going mad, azrael?
我再说最后一遍    For the last time,
让他们把这音乐关了    get them to shut off this music!
