片名：冰川时代5 星际碰撞
宇宙  The universe
什么？我听不清楚   什么？  What? I can't hear you!   What?
你永远是我唯一的真爱  You'll always be my one true love.
给你  Here.
哇  Wow!
等等  Hold on.
跟你一模一样  it looks just like you.
这样就能永远陪着彼此  Now we'll be with each other forever.
别了帅哥  So long, handsome!
再见 希德  Bye, Sidney!
你需要多摄取纤维  What you need is more fiber.
他说得对  He's right.
香格喇嘛重返全盛时期  Shangri Llama's back on top, baby!
格拉迪斯？  Gladys?
你好啊 泰迪猛男  Well, hello Teddy Bear!
这池热水变得越来越火热  Hot tubbin' just got a whole lot hotter.
太神啦 就像某种永不变老的喷泉  Amazing! It's like some kind of "Fountain of Never Getting Old!"
我们晚点再帮它想名字  Well, we can workshop the name later.
新娘在哪 怎么联络不到？  Where's the bride? Why don't I have the bride?
因为你在跟树枝说话  'Cause you're talking into a twig.
妈没空我在参加婚礼  Mom, I can't talk. I'm at a wedding.
你没空是什么意思？  What do you mean you can't talk?
你跟谁在一起？  Who are you with?
不好意思  Um, excuse me.
你们真的帮忙拯救世界赶走陨石？  Is it true you helped save the world from an asteroid?
那是非常恐怖的故事  That's a very scary story.
你们真的敢听吗?  You think you can handle it?
多恐怖？  How scary?
其实我们…  Well, we were
当时只剩下5分钟  It was five minutes to midnight
得应付火山恐龙鸟  and we were up against volcanoes,
还有世界末日  dine birds, and the end of the world.
和一群僵尸别忘了僵尸  Oh, and the zombies! Don't forget the zombies!
我们会是出色的父母  You know, we'd be great parents.
我转头对大脚怪说：听着大块头…  So I turn to Bigfoot, and I say,
不知道不知道我该怎么办？  I don't know. I don't know! What am I gonna do?
亲爱的听我说这很正常  Sweetie, listen to me. This is normal, okay?
不论谁都会紧张  Everyone gets nervous.
什么状况'?怎么了？  What's going on? What happened?
因为我…  It's just
不能走我怎能走？  I can't go. How can I go?
我不想离开你们  I don't wanna leave you guys.
嘿小毛球  Hey, Fuzzball
记得我们第一次玩曲棍球吗'?  remember the first time that we played hockey?
你不敢踩上冰面因为太滑溜了  You were so afraid to get on the ice because it was slippery?
记得我是怎么扶着你开始溜冰？  Remember how I held you up while you started to skate?
当我知道你准备好载就放手了  And when I knew you were ready, I let you go.
噢 爸  Aw, Dad.
你已经准备好现在你得勇敢放手  I know you're ready. Now you have to let go.
我知道要很特别的对象  I always knew it would take someone very special
跟你才合得来  to match your spirit.
你已经找到他就跟我一样  And you found him. Just like I did.
这是你的时代 宝贝  It's your time, sweetie.
去看世界 追逐梦想  See the world, chase your dreams.
不论你何时决定要回来  And whenever you decide to come back
我们都在这好吗？  we'll be here, okay?
好的  Okay.
你是否…  Do you
我愿意  I do.
你是否…  And do you
愿意到不行  Most def.
我现在宣布你们…  I now pronounce you
布鲁琪  Brooke!
糟糕  Oops!
超神奇  This is amazing!
你又回春了不知怎地我依然单身  You're young again. And somehow, I'm still single.
我想这是老天眷顾我们  I guess the universe was smiling on us.
我有好多问题要问你  I have so many questions for you.
发生什么事？你怎么找到我？  What happened? How'd you find me?
你吃虾子没？  Have you tried the shrimp?
闭上俊俏小嘴 用听的就好  Shh. Close that pretty little mouth of yours and just listen.
这首歌要献给我的梦幻树懒情人  This is dedicated to the sloth of my dreams.
那家伙说真的？  That guy? For real?
喔 喔 希德  oh oh, Sid
希德宝贝  Sid, baby
你让我好开心  You make me so happy
我从不知道我能想通  Oh I never knew I Would make it out
走得这么远我从没想到  And come this far Oh I never knew I
有这一天你和我结合  Would see the day We come together
这种感觉无法比拟从没有过  Oh, it's not like anything I've ever
你  You
带给我开心  You make me happy
逗我笑不停  You keep me laughing
让我的世界更美丽  You make my world a better place
我的巨星超级巨星  My superstar My superstar
闪耀光彩直达我心  You shine so bright Into my heart
我的巨星超级巨星  My superstar My superstar
闪耀光彩直达我心  You shine so bright Into my heart
我的巨星超闪耀那就是你  My super crew Stick together like super glue
不假不假此爱真心  We got the moves like yeah
我们超闪亮  We're shining bright
让你们的手挥舞起来  Throw your hands up to the blue sky
是你给我好感觉  You You make me happy
希德  Sid?
没想到我会这么说  I never thought I'd say this,
这婚礼你办得超棒  but you did a great job on the wedding.
我欠你好大一笔 伙计  I owe you bigtime, pal.
确实如此  You sure do.
这是我的账单   什么？  Here's my bill.   What?
岳父支付婚礼费  Father of the bride pays for the wedding.
用我刚发明的传统  It's a tradition I just invented.
等等 这太扯了  Wait a minute, this is ridiculous.
看你的花开价多高  Look what you're charging for flowers!
花不便宜  Flowers ain't cheap.
不 花不用钱 我们在森林里  No! They're free! We're in a forest!
这账单太离谱  This bill is outrageous!
火星  Mars.
红色星球  The Red Planet.
冰冷 干燥不适宜生存  Cold, dry, inhospitable to life.
但在亿万年以前  But billions and billions of years ago
火星是这样的  Mars looked like this.
有湖泊 河流 海洋…  There were lakes, rivers, oceans
拥有形成生命的完美条件  the perfect conditions for life to form.
那么发生了什么事?  So, what happened?
为什么那里没有了生命?  Why was life unable to take hold?
水都去了哪里？  Where did the water go?
我们也许永远无法得知  We may never know.
