片名：冰川时代5 星际碰撞
宇宙  The universe
他真的每次都要扫兴 对不对？  Boy, he really sucks the fun out of everything. Doesn't he?
扫兴鬼  Fun sucker!
我彻底研读这块石版  I read this tablet front to back.
其中故事非常令人不安  And the story it tells is very disturbing.
每隔一百万年左右  Every hundred million years or so,
世界就要历经一次宇宙净化  the world gets a cosmic cleansing.
在恐龙之前  Before the dinosaurs,
有这些像大螃蟹的东西  there were these horseshoe crab looking thingies.
可恶  Ugh! Yuck.
在这座山脉底部  Then, at the bottom of this mountain range,
遭到陨石撞击  an asteroid hit.
砰！再会了  Boom! Bye bye.
接着是恐龙山脉陨石  Next, dinosaurs, mountain range, asteroid.
砰！再会了  Boom! Bye bye.
接下来是哺乳类  And coming up next, mammals.
山脉 陨石 砰  Mountain range, asteroid, boom!
再会了  Bye bye.
蠢哺乳类  Stupid mammals.
就是我们  That's us.
对 就在那个方向  Yep, and there she is.
最大的陨石朝我们呼啸而来  The mother of all asteroids screaming towards us.
这次躲到地底也救不了我们  Even going underground won't save us this time.
嘿 之前没有那个  Hey, that wasn't there before.
看它在天上做什么  And look what it's doing to the sky.
不用担心因为我有个计划  No worries. Because I've got a plan.
真的? 阻止陨石的计划?  Really? To stop an asteroid?
听着 前两颗陨石  Look, the last two asteroids
撞击了地球相同的位置  have pummeled the earth in the same spot.
现在差不多又要来一次  And it's about to happen again.
我们前往那里看  We've got to go there
是什么在吸引陨石  and see what's attracting the asteroid.
找出陨石为何而来  Once we know why it's coming
就能想办法把它引到别的地方  we can figure out how to send it somewhere else.
这计划超蠢  That plan is so dumb,
我真想给这办法一巴掌  I wish it had a face so I could smack it.
让我弄清楚  Let me get this straight.
不远离致命的陨石就算了  Instead of running away from a deadly asteroid
你还要我们跑向撞击点？  you want us to run directly towards it?
我知道这听起来不可行 但好消息是  I know it sounds suboptimal, but the good news is
不管我们跑到哪都会没命  it'll kill us no matter where we went.
真令人欣慰  Well, that's reassuring.
好吧 但就算我们抵达撞击点  Okay, but even if we get to the crash site
要如何改写刻死在石版上的预言  how are we supposed to change what is literally written in stone?
这位悲观的朋友  Ah, my cynical friend.
恐龙本该自地球灭绝  The dinos were wiped off the face of the Earth,
但有些活下来了  but some escaped.
它们能改变命运 我们当然也行  They changed their fate and we can change ours, too.
谁要随我去？  Who's with me?
你们说呢？  So, what do you think?
老实说 我担心那黄鼠狼说得对  Honestly, I'm worried the weasel's right.
不 别听那只黄鼠狼  No! Don't listen to the weasel.
他失心疯了  He's a raving loon!
抱歉 我就爱扮唱反调的家伙  Sorry. I just love playing devil's advocate.
也爱扮得风情万种  And looking fabulous!
巴克 以前确实救过我们 对吧？  Well, Buck has saved our lives before, right?
如果这次他救不了呢？  But what if he can't this time?
我不知道该相信什么  I don't know what to believe.
但我怕我们的生活还没开始就要结束  But I'm afraid our lives will be over before they begin.
好吧  Okay.
我们加入  I guess we're in.
可拉鼠和爱迪接前来报到  Crash and Eddie reporting for duty.
大便  Doody.
好极了 脏字也粉饰太平  Exceflenfl And dirty word processed.
最好立刻上路  Now, we better get on the road
因为距撞击大约还有  because time till impact is roughly
撞击倒数 两天4小时1分钟又16秒  2 days, 4 hours, 1 minute and 16 seconds.
16秒14秒  15 seconds, 14 seconds
我们知道了  I think we get it.
还会收到世界末日  I think we're all gonna get it.
我们样子好酷  Whoo! We look so cool.
呃 这是什么东西？  Ugh. What is this stuff?
他在哪 等我处理完那只独眼黄鼠狼  Where is he? When I am through with that one eyed weasel
他就得戴两个眼罩  he's going to need two eye patches.
格蒂 我欣赏你的嗜血宣言  I admire your bloodthirstitude, Gertie.
但你听到了  But you heard them.
陨石要来了  An asteroid is coming.
这能带来改变  This changes things.
天啊 上面真的好冷  Holy snowballs! It's freezing up here.
一些身体部位冷到缩进去  Parts are retracting into other parts.
拜托别表现得像只鹦鹉好吗？  Would you please stop acting like a parakeet?
幸好你遗传你妈妈的好眼力  It's a good thing you got your mother's eyes
不然你一点用处也没有  or you'd be totally useless.
这么说很伤人  Well, that's just hurtful.
你看到什么？  What do you see?
没什么 没什么  Nothing. Nothing.
致命陨石朝地球呼啸而来  Deadly asteroid screaming towards Earth.
等等 他在那里  Wait! There he is.
太可惜了 他离我们非常远  That's too bad. He is really far away.
大概远得飞不到  Probably too far to reach by flight.
我们直接回家吧  Oh, well. Let's just go home.
我们绝对不退缩  We are not retreating!
在那只黄鼠狼来之前  Until that weasel came along
我们家一直是正正当当地偷取恐龙蛋  our family made an honest living stealing dino eggs.
正正当当偷取  An honest living. Stealing.
不觉得有点讽刺?  Kind of ironic, don't you think?
而且何必处理黄鼠狼  Besides, why take out the weasel
陨石不是都要砸落了？  if the asteroid is just gonna take us out?
眼力这么好 却看不透未采  So much sight. So little vision.
如果能阻止黄鼠狼同党转移陨石  If we stop the weasel and his friends from diverting the asteroid
砰  Kablooie!
就能消灭黄鼠狼和其他生物  It kills the weasel and everyone else
但我们仍安然在天上飞翔  while we glide safely above it all.
到时地球就是我们的游乐场  It'll be our paradise.
这似乎非常不合情理  That's seems highly implausible.
我只是从科学角度分析  Just from a scientific standpoint.
好这计划真棒顶刮刮  Fine. It's a great plan. Dynamite!
是我听过前三 四强的物种灭绝计划  One of the top three or four species annihilation plans I've ever heard.
这还差不多  That's better.
得确保陨石会撞击地球  Now let's make sure that asteroid hits.
像一般家庭一样害怕末日不好吗？  Why can't we just fear the apocalypse like a normal family?
巴克 你在做什么？  What are you doing, Buck?
所有石头都是线索  All rocks tell a tale.
待过何处又该往哪走  Where we've been and where we're heading.
不过那一块是粪便  That, however, is a turd.
朱利安  Julian
我想告诉你若过不了这关  I want you to know that if we don't make it
如果我们结不成婚  if we never get married
你依然是我的唯一  you were the only one for me.
嘿 别这样  Hey, come on!
当然过得了这关我们也一定会结婚  Of course we'll make it, and we will get married.
但也许是命运在阻此我们  But maybe it's the universe telling us we won't.
你要让一颗微不足道  You're going to let one tiny little
300英里宽的陨石毁了你的计划？  300 mile wide asteroid ruin your plans?
要怎么去想一个可能不会有的未来？  How can we think about our future when we may not have one?
我们会阻止那块石头  Hey, we're going to stop this thing
然后你会结婚  and you'll get married.
叭啦乒 叭啦砰  Bada bing, bada boom!
还是不要砰忘了我说的砰  Well, not boom. Forget I said boom.
有了我来当你们的婚礼统筹  I know! I'll be your wedding planner!
这能让你没心思再去烦恼世界末日  It'll take your mind off all this end of the world stuff.
其实我们只想随兴一点  Actually, we were just gonna wing it!
简单低调  Keep it low key.
什么  What?
小桃姑娘  Peaches, Peaches. Sweetheart,
最幸福的一天不能随兴  you don't just wing the happiest day of your life!
你要抓紧它而且珍惜它  No, you seize it and you cherish it.
带着良好的意图扼杀它  You strangle it with good intentions.
就从你的头发开始  Ooh. Let's start with your hair.
包包头盘发传统端庄  Updo with a top bun? Traditional.
或者鱼尾辫盘发冶艳俏丽  Or updo with a fishtail braid. Flirtatious.
但可能有一点走味  But maybe a little trashy.
接着是吊袜带  And garter belts!
今天爱迪穿的是蕾丝雏菊  Today, Ed is modelling laced daisies.
可拉鼠则是选择典雅长春藤  While Crash is rocking a more elegant ivy
青春洋溢  that's all about the calves.
需要一份座位表  Ooh. We need a seating chart!
单身桌 儿童桌  The singles table, the kids table,
奇怪亲戚桌  the weird relatives table
一张臭臭桌 再两张臭臭桌  the smelly table, two more smelly tables.
你看他  Look at him.
你一定会喜欢  Oh, you're gonna love it.
谁会那样走路？  Who walks like that?
你看我  Oh! Look at me.
我是朱利安  I'm Julian.
别管陨石  Forget the asteroid.
跟我抱一下 岳父哥  Gimme a hug, Bro Dad!
你看那只鸟挺美  Look at that pretty bird there.
对那只鸟挺美 好眼力 曼尼  Yeah! That is a pretty bird. Good eye, Manny.
对  Yeah.
天都真的要塌下来了  The sky is literally falling
她还在想我们要让她漫步在荒野  and she thinks we're just gonna let her stroll into the wilderness
陪那位没计划弹簧腿公子  with Mr. No Plans Bouncy Walk.
别一直挑他毛病  Stop picking on him.
拜托 艾丽 你不是还在气我吧？  Come on, El, you're not still mad at me, are you?
我不气了  No. I'm not still mad.
因为我不想这样过完  Because that's not how I want to spend
最后的相处时光  what could be our final days together.
但如果我们真能躲过  But if we somehow survive
天大的毁灭陨石  that planet killing hunk of space rock
你就惨了  you're in for it.
就算活下采也会失去女儿  If we survive, we lose our daughter.
我也在想那件事  Well, I've been thinking about that, too.
如果说…  What if
有了！破坏他们的感情 对吧  Ooh. I know! We destroy the relationship, right?
这样她就永远不必离开  That way we never have to let her go
只能一辈子当我们的小女娃  and she'll just stay our little girl forever!
不对 你这心理变态  No, you psychopath!
如果说能说服他们住在附近呢？  What if we convince them to stay near us?
喔 这样好多了  Oh! That's better.
我喜欢但怎么做？  I like it. But how?
就用她每次都会上当的那招  The way we always get her to do what we want.
让她以为那是她的主意  We make her think it's her idea.
好个狡猾的美魔女  You sneaky, sneaky minx!
希望我们手法还没生疏  Let's just hope we haven't lost our touch.
找到了  Found it.
请看 哺乳好友  Behold, mammals!
抢先抵达的陨石撞击预告  A sneak preview of the asteroid to come.
一块太空石头来自宇宙的新鲜货  A space rock. Fresh from the cosmos.
我尝到铁味 碳味  I taste iron, carbon.
还有一点点镍味  Oh! And a hint of nickel.
太空味道真孤寂  Space tastes lonely.
你们看我找到另一颗  Hey, look! I found another one.
我也是  Me, too!
你的石头被我吸引  Hey! Yours is attracted to me.
不对是你的石头被我吸引  No. Yours is attracted to me.
我们太有吸引力了  We're just too attractive!
太棒了 现在弥留之际  Stupendous! Now we have something
我们有东西玩了  to play with during our final hours.
你没抓到重点 虎哥  You're missing the point, Tiger.
这些是磁石  They're magnets.
这些太空石头若有磁性  And if these space rocks are magnetic
那颗也一样  so is that.
这只代表了一件事  This can only mean one thing.
代表什么呢？  And that would be
让我来  Allow me.
这是哪里？  Where are we?
你们在我的脑中  You are in my brain.
嗯 有点冷  Hmm. Kind of chilly.
先生们 我们所知如下  Gentlemen, here's what we know.
太空石头？有磁性陨石？也有磁性  Space rocks? Magnetic. Asteroid? Also, magnetic.
尼尔巴克天文鼠  Famed astrophysicist Neil deBuck Weasel!
宇宙现象他最懂  He knows the cosmos.
根据事实因此故得证  Ipso facto, thusly and ergo
撞击点一定有一堆磁石  the crash site must have a heap of these things
在吸引陨石  attracting the asteroid.
毕达哥拉斯巴克 他的分析角度正确  Ooh. Pythagoras Buck. He's got the right angle.
如果用磁石把陨石吸引到别的地方？  What if we use the magnets to attract the asteroids somewhere else?
例如不朝向地球  As in, not towards Earth.
理论上  Theoretically speaking,
若能发射足够磁石到太空  if we can launch enough of these into space
就能将陨石拉离轨道  they will pull the asteroid off course.
于是拯救世界  Thus, saving the world.
所以我们只要前往撞击点  So, we just need to go to the crash site
然后发射一堆石头到太空中  and launch a bunch of rocks into space.
简单 对吧？  That's easy, right?
对听来丝毫不费吹灰之力  Oh, yeah. Sounds like a real piece of cake.
这是一大进展  This is progress!
我们获得了不知如何实行的办法  Now we know exactly what we don't know how to do.
随我来 哺乳好友  Vamanos, mammals!
这条路能带我们直达撞击点  This trail will take us directly to the crash site.
好 孩子  All right, kids.
来找点乐子  Let's have some fun.
好了 大家听着 走在这条路上  Okay, everyone. Follow the trail.
绝对别偏离道路  Never leave the trail.
大家听着离开这条路  Okay, everyone. Leave the trail.
到森林里快点  Into the forest. Chop, chop.
但你刚说…  But you just said
我是疯子啊 来吧  You know I'm crazy. Come on.
谁不爱树荫呢?  I love the shade. Don't you?
有你的黄鼠狼  Well played, weasel.
孩子 保持警戒  Stay sharp, kids.
他们躲不了一辈子  They can't hide forever.
嘿 巴克  Hey, Buck.
你有何建议让我们渡过这条河？  You have a suggestion for getting around the river?
